"","syn","nonsyn","stop","syn_se","nonsyn_se","stop_se","syn_noncpg","nonsyn_noncpg","stop_noncpg","syn_noncpg_se","nonsyn_noncpg_se","stop_noncpg_se","syn_cpg","nonsyn_cpg","stop_cpg","syn_cpg_se","nonsyn_cpg_se","stop_cpg_se"
"a",0.00195641885177084,0.00446932623249658,NA,0.000102111747185302,6.08742633239776e-05,NA,0.0019604298941087,0.00444055519868889,NA,0.000162158715286784,8.72238284192332e-05,NA,0.00195036647538603,0.00452351382980254,NA,7.70442745522651e-05,6.1875191116687e-05,NA
"t",0.00192008683095026,0.00456869294268278,NA,0.000125051336861696,4.90302846115433e-05,NA,0.00190429040061535,0.00444114664786529,NA,0.000163334618526733,5.96124589707086e-05,NA,0.00194585530948541,0.00479262696257925,NA,0.000193635505341335,8.44815277011763e-05,NA
"c",0.000873609170961462,0.00251391646607341,0.00262758742711908,1.72657952079457e-05,3.40497927277969e-05,0.000103402920082344,0.000873609170961462,0.00251391646607341,0.00262758742711908,1.72657952079457e-05,3.40497927277969e-05,0.000103402920082344,NA,NA,NA,NA,NA,NA
"g",0.00111220905228317,0.00225451505911961,0.00245481944240733,0.000116419732184588,5.5597331594059e-05,6.66142383391239e-05,0.00111220905228317,0.00225451505911961,0.00245481944240733,0.000116419732184588,5.5597331594059e-05,6.66142383391239e-05,NA,NA,NA,NA,NA,NA
