"","diNT","Freq","Rho","Z"
"1","aa",328.81715210356,1.01792883445653,0.402815515470912
"2","ac",520.506472491909,1.05221584304969,1.55420815572612
"3","ag",452.239482200647,0.962567060261577,-1.07463753280054
"4","at",331.873786407767,0.960069785147049,-0.934688221321985
"5","ca",582.328478964401,1.1771655628365,5.27481371182568
"6","cc",778.95145631068,1.02812179030653,1.11112775090673
"7","cg",534.834951456311,0.743214381090341,-9.78466383171858
"8","ct",605.407766990291,1.14359048741042,4.46293221424008
"9","ga",456.749190938511,0.972170754899091,-0.798957654660316
"10","gc",678.666666666667,0.943136644272068,-2.16701277050095
"11","gg",763.550161812298,1.11716150351043,4.30446211822511
"12","gt",476.12783171521,0.946927148976207,-1.5905629043977
"13","ta",264.676375404531,0.765655501365318,-5.48603785536965
"14","tc",523.525889967638,0.988927085824835,-0.344369828452701
"15","tg",625.205501618123,1.24341800508728,7.29382123757851
"16","tt",335.250809061489,0.90461591395005,-2.33142029469374
