"","comb","piT","piS.ave","Fst"
"1","D75003 D75007",0.0425497796831847,0.0157027461252996,0.63095587704053
"2","D75003 D75008",0.026848693542846,0.0147451641167063,0.450805153957473
"3","D75003 D75013",0.0483809926545367,0.011998463940728,0.75200045963499
"4","D75003 D75020",0.0476003135972165,0.0160220992800017,0.66340349318752
"5","D75003 D75038",0.0498391265137865,0.00950424296663157,0.809301574256072
"6","D75003 D75050",0.0525739178030079,0.0151564331244822,0.711711933257995
"7","D75003 D75073",0.0458747414216582,0.0186614482711808,0.593208643953894
"8","D75003 D75078",0.04215707732704,0.0100538034393715,0.761515643948048
"9","D75003 D75091",0.0446838234567859,0.0144431974120803,0.676768989429733
"10","D75003 D75124",0.0355720741599862,0.00593972279338147,0.833022871630498
"11","D75003 D75145",0.0474101369437859,0.0117195878864795,0.752804175605412
"12","D75003 D75174",0.0372220431590444,0.0138341576524465,0.628334275113939
"13","D75003 D75180",0.0401234981126702,0.00942180411355257,0.765179893161475
"14","D75003 D75187",0.0290446756577256,0.00898598624435582,0.690615025271744
"15","D75003 D75196",0.03593034769833,0.0102502264890787,0.714719529709558
"16","D75003 D75199",0.0333330800259607,0.00940347028096988,0.717893747783097
"17","D75003 D75203",0.0398307649450111,0.010257231960996,0.742479664270651
"18","D75003 D75204",0.0377055092234314,0.00912048527851768,0.758112661349501
"19","D75003 D75208",0.040597770898369,0.00915346617238771,0.774532789120315
"20","D75003 D75210",0.0340065651091408,0.0112510805658777,0.669149750062424
"21","D75003 D75215",0.0415536679121588,0.0104537057378723,0.748428808740287
"22","D75003 D75222",0.0379100673736613,0.00958029995380072,0.747288764766036
"23","D75003 D75231",0.0449087519600501,0.0169459447550409,0.622658301212297
"24","D75003 D75232",0.0375275848558466,0.0102818502195819,0.726018866946083
"25","D75003 D75246",0.292295236458242,0.00947235487424273,0.96759319450765
"26","D75003 D75250",0.0326726700262313,0.0122200787077113,0.625984693081391
"27","D75003 D75259",0.0384844103995995,0.00895211352758334,0.767383378499765
"28","D75003 D75260",0.0405260932526938,0.0118354453124172,0.707954940570776
"29","D75003 D75263",0.283505968914835,0.0121604592524941,0.957106866924036
"30","D75003 D75293",0.0392811539191242,0.0157594023165902,0.598805005855044
"31","D75003 D75312",0.0389924837133618,0.010822903563111,0.722436158653769
"32","D75003 D75362",0.26937243241424,0.0122110644932164,0.954668470029486
"33","D75003 D75365",0.0439093169294673,0.0153486579993561,0.650446441150267
"34","D75003 D75374",0.00989722763939933,0.00960150356304312,0.0298794861683269
"35","D75003 D75375",0.0255297650612977,0.0131646060694178,0.48434284303795
"36","D75003 D75379",0.0392788622202931,0.00978089299592418,0.750988382986538
"37","D75003 D75389",0.0501891429309457,0.0135119646776543,0.730779130931859
"38","D75003 D75404",0.0464841593449514,0.0107694793833527,0.7683193686814
"39","D75007 D75008",0.0443083453857155,0.0210204587617427,0.525586916443071
"40","D75007 D75013",0.0577424962389704,0.0182737585857645,0.68353015931044
"41","D75007 D75020",0.0516388707075667,0.0222973939250381,0.568205237265755
"42","D75007 D75038",0.0531998251954573,0.015779537611668,0.703391175559438
"43","D75007 D75050",0.0563144026865067,0.0214317277695186,0.61942723802247
"44","D75007 D75073",0.0495216094504952,0.0249367429162172,0.496447244083505
"45","D75007 D75078",0.046560001798048,0.0163290980844079,0.649289144033227
"46","D75007 D75091",0.0465800678610087,0.0207184920571167,0.55520691556442
"47","D75007 D75124",0.0445769095715835,0.0122150174384179,0.725978818275805
"48","D75007 D75145",0.0513192623891931,0.0179948825315159,0.649354225026716
"49","D75007 D75174",0.0393284524565054,0.0201094522974829,0.488679288367053
"50","D75007 D75180",0.0490502101698071,0.015697098758589,0.679978970441775
"51","D75007 D75187",0.0354259339575489,0.0152612808893922,0.569205969059844
"52","D75007 D75196",0.0421275409493032,0.0165255211341151,0.607726424051142
"53","D75007 D75199",0.0390659107504543,0.0156787649260063,0.59865866109818
"54","D75007 D75203",0.0443600404189116,0.0165325266060325,0.627310380019755
"55","D75007 D75204",0.0453438187925416,0.0153957799235541,0.660465740788324
"56","D75007 D75208",0.0458204704712719,0.0154287608174241,0.66327799215642
"57","D75007 D75210",0.0390625779442291,0.0175263752109141,0.551325689872874
"58","D75007 D75215",0.047857841604843,0.0167290003829087,0.650443901732171
"59","D75007 D75222",0.0424488284163474,0.0158555945988371,0.626477450842176
"60","D75007 D75231",0.0468457110709242,0.0232212394000773,0.504303833387854
"61","D75007 D75232",0.0422816048680896,0.0165571448646183,0.608407842694869
"62","D75007 D75246",0.285604957359376,0.0157476495192791,0.94486212821767
"63","D75007 D75250",0.0375825764502418,0.0184953733527478,0.507873725016297
"64","D75007 D75259",0.0450379457501869,0.0152274081726198,0.661898252263059
"65","D75007 D75260",0.0470429845874436,0.0181107399574537,0.615017199349047
"66","D75007 D75263",0.2997313922144,0.0184357538975305,0.93849241562144
"67","D75007 D75293",0.0418513531772334,0.0220346969616266,0.473500967380591
"68","D75007 D75312",0.0456391543744361,0.0170981982081474,0.625361196049577
"69","D75007 D75362",0.302863509822944,0.0184863591382529,0.938961418134987
"70","D75007 D75365",0.0514337181995823,0.0216239526443925,0.57957632849946
"71","D75007 D75374",0.0443569075568081,0.0158767982080795,0.642067062773796
"72","D75007 D75375",0.0430287940043849,0.0194399007144542,0.548211815732665
"73","D75007 D75379",0.0454989700897257,0.0160561876409606,0.647108767312816
"74","D75007 D75389",0.0573114802236102,0.0197872593226908,0.654741785668639
"75","D75007 D75404",0.0499936129731658,0.0170447740283892,0.659060967697254
