"","SampleID","Pi"
"1","D75002-",0.0178725777167985
"2","D75004-",0.0201120260962815
"3","D75009-",0.0145439246464541
"4","D75010-",0.0114389942954113
"5","D75011-",0.010011221376966
"6","D75012-",0.0236449745291461
"7","D75015-",0.021269395433102
"8","D75016-",0.00920078944493276
"9","D75017-",0.0196847742256211
"10","D75018-",0.012617962639197
"11","D75019-",0.0238317049843615
"12","D75021-",0.0240332258574313
"13","D75022-",0.0111361308252906
"14","D75023-",0.0201468170895926
"15","D75024-",0.0288290037419433
"16","D75025-",0.0124586278704292
"17","D75026-",0.0186075155705678
"18","D75027-",0.0232331882910943
"19","D75028-",0.0180448696089701
"20","D75029-",0.0167114311210814
"21","D75030R",0.015317154390513
"22","D75031-",0.0156267644758438
"23","D75033-",0.0257708645529686
"24","D75035-",0.0115559684741395
"25","D75036-",0.020071037543699
"26","D75043-",0.0153143765284961
"27","D75044-",0.0199418502683585
"28","D75045-",0.0391458767565371
"29","D75047-",0.0171565411274451
"30","D75049-",0.0141459522021458
"31","D75051-",0.0106911514110168
"32","D75052-",0.0115755952608082
"33","D75053-",0.0165977912459364
"34","D75055-",0.0123433040282643
"35","D75056-",0.0144646630044928
"36","D75057-",0.00937444972217357
"37","D75058-",0.0234845895898256
"38","D75059-",0.0119877041133728
"39","D75060-",0.0156254517611231
"40","D75062-",0.0119739131584589
"41","D75063-",0.0105514343562926
"42","D75065-",0.026295973488207
"43","D75075R",0.0135743478151292
"44","D75076-",0.0110725937999595
"45","D75080-",0.027447275739684
"46","D75083-",0.00768274058238457
"47","D75089-",0.0179995731627358
"48","D75092-",0.0156524854254452
"49","D75113R",0.0152223023934242
"50","D75129R",0.0118078669060044
"51","D75139-",0.00793672258326851
"52","D75141-",0.0291070762943321
"53","D75142-",0.0111380615894324
"54","D75143-",0.013904177801151
"55","D75147-",0.0100177847686574
"56","D75148-",0.0403996658006086
"57","D75151-",0.0298202622223242
"58","D75152-",0.0312767169525183
"59","D75153R",0.0114835620710128
"60","D75155-",0.0273181981790227
"61","D75156-",0.0164626632668048
"62","D75157-",0.0148881138407229
"63","D75158-",0.0110696318999076
"64","D75160R",0.0144772037320832
"65","D75161-",0.0151662453537861
"66","D75162-",0.00843105924242101
"67","D75164-",0.0243147957387311
"68","D75168-",0.0182395118057806
"69","D75169-",0.0141931422405971
"70","D75175-",0.00949893084404747
"71","D75176-",0.00803106879481486
"72","D75177-",0.0154412796963143
"73","D75178-",0.0087210170248637
"74","D75183-",0.0124327686341303
"75","D75185R",0.0131760574464911
"76","D75186-",0.0158420768726249
"77","D75188-",0.010761667575923
"78","D75189-",0.0135227753174191
"79","D75193-",0.015698370520128
"80","D75194-",0.0106108865342128
"81","D75197-",0.0208178355140729
"82","D75198-",0.0126065189481683
"83","D75200-",0.0255770901479921
"84","D75202-",0.0193950787570019
"85","D75205-",0.0100630839301587
"86","D75206-",0.0167155638580227
"87","D75207-",0.00983398042013097
"88","D75209-",0.0119778319535753
"89","D75216-",0.00931172678022827
"90","D75218-",0.00816217150098972
"91","D75219-",0.0195389864840396
"92","D75220-",0.0154507286365123
"93","D75221-",0.0143434877225144
"94","D75223-",0.0103362093343949
"95","D75225-",0.0146962732765939
"96","D75226-",0.0144924174643525
"97","D75227-",0.00870465544313668
"98","D75228-",0.00931548947904477
"99","D75229-",0.0104653334137276
"100","D75230-",0.0122505210707425
"101","D75233-",0.00857035492839692
"102","D75235-",0.0196995524036761
"103","D75236-",0.0176306779684446
"104","D75237-",0.0117230467783713
"105","D75241-",0.00895881805076079
"106","D75242-",0.00889983255473531
"107","D75243R",0.0108135074761796
"108","D75245-",0.0152552982219252
"109","D75247-",0.0110594820270426
"110","D75248-",0.0141809555603469
"111","D75249-",0.00851450182063319
"112","D75252-",0.00752890529641756
"113","D75254-",0.0263757173627414
"114","D75255-",0.0273647455691456
"115","D75257-",0.0113744919750852
"116","D75258-",0.0312627837613902
"117","D75262-",0.0175546716138727
"118","D75264-",0.0233170770666153
"119","D75265-",0.0132843243707727
"120","D75266-",0.0237309820754599
"121","D75267-",0.0190751416933507
"122","D75268-",0.0243450413667834
"123","D75270-",0.030015485533924
"124","D75271-",0.0239974636702153
"125","D75272-",0.0178903981185633
"126","D75273-",0.0173173478136138
"127","D75274-",0.023942426360015
"128","D75275-",0.0178795066861768
"129","D75276-",0.017088724243332
"130","D75277-",0.0163563830597667
"131","D75280-",0.00975600221003695
"132","D75281-",0.0169897677563203
"133","D75282-",0.00867772578897042
"134","D75283-",0.0277634574803232
"135","D75284-",0.0400687444496453
"136","D75285-",0.0239806742463063
"137","D75286-",0.0188750093668512
"138","D75287-",0.0221424049924986
"139","D75288-",0.0107407876659756
"140","D75294-",0.0108573652840799
"141","D75296-",0.0136444157090485
"142","D75297-",0.00914421100736737
"143","D75299-",0.0127860523731151
"144","D75302-",0.0197365483292168
"145","D75303-",0.0115966514685501
"146","D75305R",0.0131198356188108
"147","D75308R",0.0169094875900294
"148","D75309-",0.0167183366239937
"149","D75310-",0.0191366054325218
"150","D75311-",0.0191999959655084
"151","D75313-",0.0156132300166661
"152","D75314-",0.0102188368177706
"153","D75316-",0.0113407577778754
"154","D75320-",0.0158108417470509
"155","D75321-",0.00976323666866226
"156","D75322-",0.0113480804833727
"157","D75324-",0.0119293258710756
"158","D75325-",0.0111234196982611
"159","D75328-",0.0101618900091158
"160","D75333-",0.0152640647278002
"161","D75335R",0.0271165115976724
"162","D75336-",0.0187087415118089
"163","D75337-",0.00919408086572137
"164","D75341R",0.0122020449618587
"165","D75343R",0.0230662345036041
"166","D75344R",0.0104500236899058
"167","D75352R",0.00791430866635716
"168","D75353-",0.0106882501108172
"169","D75355R",0.0107939582426116
"170","D75358-",0.0202386002822154
"171","D75368R",0.0222139861839865
"172","D75369-",0.0121342454576211
"173","D75370-",0.019067844278767
"174","D75371-",0.0104161399439934
"175","D75372-",0.0235519370903932
"176","D75373R",0.0120025379803209
"177","D75376-",0.0139475606324533
"178","D75377-",0.00656774757803255
"179","D75378R",0.0364277514765127
"180","D75381-",0.0144892234125437
"181","D75382-",0.00732422977847375
"182","D75384R",0.0252951096824498
"183","D75385R",0.00828440321892644
"184","D75387R",0.017166319994945
"185","D75388R",0.0132603740363675
"186","D75391-",0.00953153549269155
"187","D75392-",0.0212983634508031
"188","D75393-",0.0296568431187167
"189","D75394-",0.0140567687223044
"190","D75395R",0.0145866088132081
"191","D75398R",0.00872895950247279
"192","D75400-",0.0185529560899117
"193","D75401-",0.0109389040484094
"194","D75402-",0.0260408678118612
"195","D75405-",0.0178688873313804
