"","SampleID","Pi"
"1","D75002-",0.00916167561728134
"2","D75004-",0.0131547516549319
"3","D75009-",0.0101854918511627
"4","D75010-",0.00934899930938483
"5","D75011-",0.00898500081324411
"6","D75012-",0.0135814838068141
"7","D75015-",0.0161281012042143
"8","D75016-",0.00823271061185155
"9","D75017-",0.0133365303071145
"10","D75018-",0.00885052747195198
"11","D75019-",0.0141670695982171
"12","D75021-",0.0149790314936834
"13","D75022-",0.0101250497329473
"14","D75023-",0.0118743592446868
"15","D75024-",0.0146035067878604
"16","D75025-",0.0104505157557893
"17","D75026-",0.0117002382030766
"18","D75027-",0.0135301224000802
"19","D75028-",0.0102398063674742
"20","D75029-",0.0122161215874744
"21","D75030R",0.00365376736632232
"22","D75031-",0.0116875773696881
"23","D75033-",0.0150589319838702
"24","D75035-",0.00973243651239387
"25","D75036-",0.0135022449167342
"26","D75043-",0.0103593915467674
"27","D75044-",0.0111090178939988
"28","D75045-",0.0145211623197351
"29","D75047-",0.0115230055266941
"30","D75049-",0.0112718275084203
"31","D75051-",0.00972548592190345
"32","D75052-",0.0103504758363923
"33","D75053-",0.0107135816300405
"34","D75055-",0.0102752723703537
"35","D75056-",0.0107453685366749
"36","D75057-",0.00924447806127613
"37","D75058-",0.013976672032673
"38","D75059-",0.00954076059844102
"39","D75060-",0.0113262177412035
"40","D75062-",0.0104917374040706
"41","D75063-",0.00977207461100433
"42","D75065-",0.0182700435431821
"43","D75075R",0.00991834249566413
"44","D75076-",0.0100675900541783
"45","D75080-",0.0122662997902467
"46","D75083-",0.0073074869313337
"47","D75089-",0.0131746259102056
"48","D75092-",0.011642533525341
"49","D75113R",0.013599130207259
"50","D75129R",0.00986182823035561
"51","D75139-",0.00748943412878589
"52","D75141-",0.0125955091870077
"53","D75142-",0.0081482794488526
"54","D75143-",0.0099617572003074
"55","D75147-",0.00816234763216297
"56","D75148-",0.0114426582774943
"57","D75151-",0.0122348819145225
"58","D75152-",0.0169902045072032
"59","D75153R",0.00898204351429406
"60","D75155-",0.015819528568106
"61","D75156-",0.0112164865822691
"62","D75157-",0.0108306749782005
"63","D75158-",0.00962154503292113
"64","D75160R",0.0104808011614879
"65","D75161-",0.0113927097306931
"66","D75162-",0.00758185436894088
"67","D75164-",0.0122138300809819
"68","D75168-",0.0118841175731933
"69","D75169-",0.0110758379243574
"70","D75175-",0.00779190530752214
"71","D75176-",0.00783928118401368
"72","D75177-",0.00938528766826098
"73","D75178-",0.0075520825131259
"74","D75183-",0.00925804691822191
"75","D75185R",0.0119576188540431
"76","D75186-",0.0114190542904484
"77","D75188-",0.00910368705892818
"78","D75189-",0.009871992262145
"79","D75193-",0.0092535523020911
"80","D75194-",0.00874379838997641
"81","D75197-",0.0134169328952101
"82","D75198-",0.00927111436654646
"83","D75200-",0.0135470812488806
"84","D75202-",0.0122393901921867
"85","D75205-",0.0082283087281612
"86","D75206-",0.0132981172154052
"87","D75207-",0.00883003448932622
"88","D75209-",0.00978806271485188
"89","D75216-",0.00819373221377887
"90","D75218-",0.00763879937056121
"91","D75219-",0.012388719219899
"92","D75220-",0.0108628412861083
"93","D75221-",0.0108891813164511
"94","D75223-",0.00932597563133615
"95","D75225-",0.00914753501783748
"96","D75226-",0.00676033645219474
"97","D75227-",0.00752822309934102
"98","D75228-",0.00835434462410281
"99","D75229-",0.00868510890561083
"100","D75230-",0.00939979394811913
"101","D75233-",0.00789526035372831
"102","D75235-",0.0112381041880067
"103","D75236-",0.0114267653945879
"104","D75237-",0.00668378368506933
"105","D75241-",0.00794348473095819
"106","D75242-",0.00762337906174493
"107","D75243R",0.0093368024879164
"108","D75245-",0.010785518897152
"109","D75247-",0.00842774002788422
"110","D75248-",0.00831578160415262
"111","D75249-",0.00785334535013516
"112","D75252-",0.00717417934654332
"113","D75254-",0.0138356129796214
"114","D75255-",0.0112520799867688
"115","D75257-",0.00899704137295014
"116","D75258-",0.0129610984332004
"117","D75262-",0.0114118717499599
"118","D75264-",0.0166701228180642
"119","D75265-",0.00961549284154901
"120","D75266-",0.0125670653410342
"121","D75267-",0.0118186146092779
"122","D75268-",0.0136550590487725
"123","D75270-",0.0179600186384153
"124","D75271-",0.0124521151085825
"125","D75272-",0.0117250602716516
"126","D75273-",0.00810256680201385
"127","D75274-",0.0136739180327348
"128","D75275-",0.0103975130977719
"129","D75276-",0.0098183208280238
"130","D75277-",0.00984987416117832
"131","D75280-",0.00903500555503637
"132","D75281-",0.00834609455285468
